i,j
1,20
2,20
3,20
4,20
5,20
8,20
10,20
11,20
12,20
14,20
15,20
16,20
17,20
18,20
19,20
20,20
21,20
23,20
24,20
25,20
26,20
28,20
29,20
30,20
32,20
34,20
35,20
36,20
37,20
38,20
39,20
44,20
45,20
46,20
49,20
50,20
52,20
54,20
55,20
58,20
59,20
61,20
62,20
66,20
68,20
69,20
72,20
76,20
77,20
79,20
80,20
85,20
87,20
91,20
92,20
93,20
94,20
97,20
98,20
99,20
100,20
102,20
105,20
106,20
108,20
109,20
112,20
113,20
116,20
118,20
119,20
120,20
122,20
131,20
135,20
136,20
141,20
147,20
149,20
150,20
154,20
155,20
156,20
157,20
159,20
161,20
162,20
164,20
165,20
168,20
170,20
172,20
175,20
176,20
177,20
178,20
179,20
180,20
183,20
184,20
189,20
190,20
191,20
192,20
193,20
194,20
195,20
196,20
197,20
199,20
200,20
3,19
4,19
5,19
6,19
7,19
8,19
9,19
11,19
13,19
14,19
15,19
17,19
18,19
19,19
20,19
22,19
23,19
24,19
25,19
26,19
29,19
31,19
32,19
33,19
34,19
35,19
36,19
39,19
40,19
42,19
47,19
49,19
50,19
51,19
52,19
53,19
54,19
55,19
58,19
59,19
60,19
63,19
64,19
67,19
71,19
72,19
74,19
84,19
88,19
90,19
92,19
94,19
96,19
98,19
99,19
100,19
102,19
104,19
105,19
108,19
109,19
110,19
114,19
119,19
120,19
121,19
123,19
124,19
125,19
126,19
129,19
130,19
131,19
132,19
137,19
138,19
141,19
142,19
144,19
147,19
150,19
154,19
155,19
156,19
158,19
160,19
162,19
163,19
166,19
170,19
171,19
172,19
174,19
176,19
177,19
178,19
179,19
180,19
181,19
183,19
184,19
185,19
186,19
187,19
188,19
189,19
190,19
193,19
194,19
197,19
198,19
199,19
200,19
2,18
3,18
5,18
6,18
7,18
8,18
9,18
10,18
11,18
12,18
13,18
14,18
15,18
16,18
17,18
18,18
19,18
21,18
22,18
23,18
24,18
26,18
27,18
28,18
30,18
31,18
32,18
34,18
35,18
37,18
39,18
40,18
41,18
42,18
45,18
47,18
48,18
49,18
50,18
51,18
54,18
57,18
63,18
64,18
65,18
66,18
68,18
71,18
72,18
73,18
74,18
76,18
80,18
83,18
85,18
86,18
87,18
88,18
90,18
92,18
95,18
96,18
101,18
102,18
104,18
107,18
108,18
111,18
122,18
124,18
125,18
126,18
127,18
134,18
138,18
140,18
143,18
146,18
147,18
149,18
151,18
153,18
155,18
158,18
159,18
160,18
162,18
163,18
164,18
165,18
166,18
167,18
168,18
171,18
174,18
176,18
177,18
180,18
181,18
182,18
183,18
184,18
185,18
186,18
187,18
189,18
190,18
192,18
193,18
194,18
195,18
196,18
197,18
198,18
199,18
200,18
2,17
3,17
8,17
9,17
10,17
11,17
12,17
14,17
18,17
20,17
23,17
24,17
26,17
27,17
28,17
29,17
31,17
32,17
33,17
34,17
35,17
36,17
38,17
39,17
