i,j
2,20
4,20
7,20
8,20
13,20
16,20
18,20
20,20
22,20
24,20
27,20
30,20
32,20
39,20
41,20
42,20
47,20
49,20
50,20
62,20
63,20
66,20
71,20
75,20
78,20
80,20
84,20
89,20
93,20
95,20
104,20
112,20
117,20
129,20
132,20
136,20
139,20
140,20
143,20
144,20
147,20
148,20
149,20
151,20
153,20
160,20
161,20
186,20
194,20
195,20
200,20
1,19
9,19
12,19
13,19
14,19
17,19
23,19
27,19
30,19
35,19
39,19
46,19
47,19
48,19
50,19
58,19
59,19
61,19
72,19
75,19
81,19
82,19
83,19
86,19
95,19
101,19
103,19
109,19
111,19
112,19
116,19
122,19
134,19
152,19
154,19
157,19
158,19
162,19
164,19
165,19
171,19
173,19
176,19
178,19
182,19
183,19
184,19
185,19
186,19
193,19
199,19
200,19
3,18
14,18
15,18
22,18
24,18
25,18
26,18
31,18
32,18
39,18
42,18
53,18
54,18
65,18
66,18
67,18
69,18
72,18
76,18
79,18
80,18
81,18
82,18
95,18
104,18
116,18
119,18
120,18
144,18
145,18
150,18
151,18
156,18
159,18
163,18
164,18
165,18
166,18
169,18
171,18
173,18
176,18
178,18
182,18
184,18
187,18
197,18
1,17
2,17
12,17
16,17
19,17
23,17
28,17
29,17
32,17
35,17
36,17
44,17
45,17
47,17
48,17
51,17
52,17
53,17
59,17
60,17
64,17
66,17
73,17
98,17
100,17
102,17
116,17
117,17
119,17
121,17
128,17
129,17
130,17
131,17
138,17
139,17
143,17
146,17
148,17
151,17
154,17
156,17
157,17
159,17
160,17
161,17
165,17
170,17
171,17
173,17
176,17
177,17
183,17
185,17
186,17
187,17
192,17
195,17
197,17
198,17
199,17
200,17
2,16
3,16
6,16
8,16
9,16
12,16
14,16
15,16
16,16
17,16
18,16
21,16
23,16
26,16
28,16
30,16
32,16
35,16
44,16
49,16
54,16
56,16
59,16
66,16
67,16
70,16
77,16
78,16
79,16
81,16
82,16
86,16
97,16
99,16
101,16
113,16
114,16
126,16
130,16
131,16
133,16
134,16
147,16
148,16
149,16
152,16
155,16
156,16
160,16
162,16
167,16
168,16
171,16
175,16
176,16
179,16
181,16
187,16
190,16
191,16
192,16
194,16
198,16
200,16
2,15
4,15
6,15
10,15
14,15
15,15
31,15
32,15
33,15
34,15
37,15
45,15
47,15
49,15
53,15
55,15
56,15
58,15
66,15
68,15
69,15
72,15
80,15
82,15
83,15
84,15
85,15
90,15
91,15
93,15
98,15
122,15
129,15
131,15
137,15
139,15
144,15
148,15
150,15
152,15
154,15
155,15
156,15
167,15
169,15
177,15
180,15
185,15
186,15
187,15
189,15
191,15
193,15
195,15
196,15
199,15
1,14
2,14
3,14
4,14
6,14
9,14
14,14
17,14
21,14
22,14
23,14
29,14
31,14
34,14
36,14
38,14
49,14
50,14
52,14
60,14
68,14
74,14
75,14
77,14
78,14
84,14
86,14
88,14
94,14
96,14
97,14
100,14
113,14
114,14
116,14
130,14
133,14
136,14
137,14
141,14
142,14
147,14
153,14
160,14
162,14
163,14
173,14
175,14
189,14
190,14
194,14
195,14
197,14
6,13
10,13
12,13
15,13
16,13
22,13
23,13
26,13
32,13
37,13
38,13
47,13
48,13
51,13
55,13
58,13
66,13
67,13
77,13
86,13
102,13
111,13
122,13
128,13
131,13
132,13
133,13
140,13
145,13
146,13
148,13
155,13
163,13
164,13
165,13
169,13
170,13
175,13
177,13
181,13
185,13
192,13
193,13
195,13
197,13
198,13
199,13
200,13
2,12
4,12
5,12
7,12
8,12
12,12
13,12
16,12
17,12
19,12
20,12
21,12
22,12
