i,j
5,20
6,20
9,20
10,20
11,20
12,20
15,20
25,20
26,20
28,20
29,20
33,20
34,20
35,20
36,20
38,20
44,20
45,20
46,20
48,20
51,20
53,20
56,20
57,20
58,20
59,20
67,20
81,20
83,20
102,20
105,20
114,20
115,20
126,20
127,20
130,20
134,20
138,20
141,20
146,20
150,20
154,20
155,20
162,20
163,20
165,20
167,20
168,20
169,20
172,20
173,20
175,20
177,20
178,20
180,20
184,20
187,20
190,20
196,20
197,20
2,19
4,19
5,19
8,19
10,19
11,19
15,19
18,19
19,19
24,19
26,19
33,19
34,19
36,19
38,19
53,19
55,19
57,19
64,19
67,19
69,19
70,19
91,19
105,19
107,19
118,19
121,19
123,19
126,19
129,19
133,19
136,19
137,19
142,19
143,19
144,19
147,19
148,19
149,19
150,19
153,19
160,19
166,19
168,19
169,19
170,19
175,19
179,19
181,19
188,19
189,19
190,19
194,19
196,19
197,19
2,18
4,18
5,18
6,18
9,18
10,18
11,18
12,18
13,18
16,18
17,18
19,18
21,18
23,18
28,18
29,18
33,18
35,18
36,18
37,18
41,18
43,18
47,18
51,18
52,18
57,18
61,18
70,18
84,18
86,18
87,18
89,18
90,18
93,18
100,18
109,18
112,18
113,18
117,18
118,18
125,18
126,18
130,18
135,18
136,18
137,18
139,18
142,18
143,18
149,18
153,18
157,18
162,18
172,18
174,18
177,18
183,18
185,18
186,18
188,18
191,18
192,18
194,18
195,18
196,18
198,18
199,18
200,18
3,17
4,17
5,17
6,17
7,17
8,17
9,17
13,17
15,17
17,17
18,17
21,17
24,17
25,17
26,17
27,17
30,17
37,17
39,17
42,17
46,17
49,17
55,17
67,17
71,17
72,17
74,17
76,17
91,17
92,17
94,17
105,17
108,17
111,17
120,17
123,17
124,17
126,17
136,17
137,17
142,17
145,17
150,17
166,17
169,17
174,17
180,17
182,17
188,17
189,17
191,17
194,17
1,16
5,16
7,16
11,16
19,16
20,16
24,16
25,16
27,16
29,16
33,16
37,16
52,16
55,16
58,16
60,16
69,16
72,16
73,16
80,16
87,16
91,16
93,16
95,16
100,16
105,16
111,16
112,16
116,16
117,16
119,16
120,16
125,16
127,16
129,16
132,16
137,16
141,16
144,16
145,16
157,16
158,16
159,16
166,16
170,16
173,16
174,16
178,16
180,16
182,16
183,16
184,16
186,16
193,16
195,16
199,16
3,15
5,15
7,15
8,15
9,15
16,15
17,15
18,15
19,15
21,15
23,15
24,15
25,15
28,15
29,15
30,15
36,15
39,15
40,15
42,15
43,15
44,15
46,15
48,15
50,15
54,15
73,15
76,15
78,15
81,15
96,15
99,15
101,15
106,15
107,15
110,15
111,15
116,15
121,15
127,15
132,15
133,15
136,15
140,15
141,15
146,15
151,15
153,15
161,15
171,15
173,15
175,15
176,15
178,15
183,15
184,15
192,15
197,15
198,15
200,15
5,14
11,14
12,14
13,14
15,14
16,14
25,14
26,14
30,14
33,14
35,14
40,14
44,14
47,14
51,14
54,14
55,14
56,14
57,14
58,14
61,14
62,14
63,14
64,14
66,14
71,14
76,14
79,14
92,14
99,14
107,14
108,14
109,14
112,14
139,14
143,14
144,14
150,14
156,14
157,14
159,14
168,14
169,14
171,14
172,14
174,14
178,14
179,14
181,14
182,14
183,14
184,14
185,14
193,14
196,14
198,14
200,14
1,13
2,13
4,13
7,13
8,13
9,13
13,13
17,13
20,13
21,13
25,13
27,13
28,13
34,13
36,13
40,13
41,13
42,13
43,13
44,13
45,13
49,13
50,13
59,13
61,13
64,13
70,13
73,13
74,13
85,13
87,13
92,13
108,13
109,13
114,13
115,13
119,13
134,13
141,13
147,13
152,13
153,13
154,13
156,13
157,13
168,13
171,13
172,13
173,13
182,13
184,13
186,13
188,13
189,13
190,13
191,13
194,13
196,13
1,12
3,12
9,12
15,12
23,12
32,12
33,12
34,12
35,12
38,12
40,12
42,12
44,12
51,12
67,12
72,12
74,12
81,12
83,12
84,12
85,12
91,12
99,12
113,12
118,12
129,12
134,12
137,12
140,12
141,12
145,12
156,12
158,12
162,12
166,12
168,12
169,12
170,12
173,12
174,12
177,12
186,12
188,12
189,12
191,12
196,12
1,11
5,11
6,11
7,11
9,11
10,11
13,11
14,11
16,11
17,11
22,11
28,11
32,11
34,11
35,11
36,11
41,11
42,11
43,11
45,11
46,11
48,11
55,11
56,11
61,11
63,11
67,11
68,11
91,11
99,11
105,11
107,11
125,11
127,11
131,11
133,11
135,11
138,11
145,11
146,11
148,11
149,11
151,11
156,11
159,11
163,11
164,11
165,11
166,11
168,11
171,11
174,11
175,11
176,11
177,11
178,11
188,11
193,11
194,11
196,11
197,11
198,11
199,11
1,10
3,10
4,10
5,10
8,10
9,10
10,10
12,10
18,10
19,10
23,10
28,10
36,10
38,10
47,10
57,10
66,10
67,10
68,10
75,10
79,10
80,10
83,10
88,10
92,10
94,10
103,10
107,10
109,10
112,10
115,10
116,10
120,10
125,10
133,10
135,10
140,10
141,10
142,10
148,10
151,10
156,10
158,10
162,10
169,10
177,10
181,10
186,10
187,10
189,10
190,10
191,10
195,10
200,10
4,9
5,9
6,9
7,9
8,9
10,9
11,9
12,9
13,9
14,9
15,9
18,9
21,9
26,9
31,9
32,9
37,9
38,9
39,9
48,9
50,9
53,9
59,9
60,9
61,9
62,9
63,9
67,9
76,9
87,9
97,9
99,9
101,9
102,9
105,9
111,9
112,9
125,9
128,9
133,9
138,9
139,9
145,9
146,9
149,9
155,9
156,9
158,9
159,9
163,9
169,9
171,9
173,9
175,9
179,9
187,9
188,9
193,9
195,9
196,9
197,9
199,9
7,8
12,8
15,8
16,8
20,8
28,8
30,8
31,8
33,8
37,8
40,8
42,8
49,8
59,8
62,8
64,8
69,8
71,8
81,8
85,8
87,8
88,8
89,8
90,8
93,8
94,8
96,8
103,8
105,8
106,8
111,8
119,8
125,8
129,8
131,8
135,8
137,8
144,8
146,8
149,8
152,8
155,8
158,8
161,8
165,8
166,8
168,8
175,8
184,8
185,8
186,8
188,8
190,8
191,8
193,8
194,8
197,8
200,8
1,7
5,7
8,7
12,7
13,7
18,7
25,7
26,7
27,7
33,7
34,7
37,7
44,7
45,7
46,7
49,7
50,7
57,7
58,7
74,7
76,7
82,7
85,7
90,7
92,7
99,7
101,7
109,7
114,7
115,7
129,7
141,7
145,7
152,7
162,7
163,7
164,7
165,7
171,7
172,7
173,7
175,7
178,7
179,7
183,7
184,7
185,7
186,7
188,7
189,7
190,7
191,7
195,7
196,7
197,7
4,6
5,6
6,6
8,6
9,6
14,6
23,6
29,6
34,6
35,6
36,6
37,6
39,6
43,6
44,6
45,6
59,6
67,6
68,6
71,6
72,6
77,6
78,6
80,6
84,6
88,6
92,6
93,6
107,6
112,6
119,6
128,6
132,6
134,6
135,6
138,6
140,6
150,6
155,6
157,6
159,6
161,6
177,6
179,6
184,6
186,6
188,6
189,6
190,6
192,6
193,6
195,6
196,6
197,6
198,6
1,5
3,5
6,5
8,5
13,5
25,5
38,5
46,5
51,5
53,5
58,5
60,5
61,5
64,5
65,5
66,5
67,5
75,5
76,5
78,5
80,5
96,5
98,5
115,5
117,5
118,5
123,5
125,5
126,5
130,5
131,5
144,5
147,5
155,5
157,5
160,5
161,5
165,5
166,5
172,5
178,5
179,5
182,5
192,5
193,5
194,5
197,5
199,5
200,5
1,4
2,4
5,4
7,4
9,4
13,4
16,4
20,4
24,4
28,4
29,4
32,4
33,4
36,4
38,4
39,4
43,4
46,4
53,4
58,4
60,4
61,4
62,4
70,4
82,4
86,4
87,4
102,4
110,4
115,4
120,4
121,4
125,4
138,4
139,4
141,4
143,4
149,4
154,4
157,4
162,4
167,4
169,4
175,4
178,4
179,4
181,4
183,4
189,4
190,4
193,4
195,4
196,4
199,4
7,3
11,3
13,3
14,3
15,3
17,3
19,3
23,3
32,3
35,3
38,3
41,3
48,3
49,3
53,3
55,3
56,3
60,3
61,3
76,3
98,3
100,3
103,3
106,3
112,3
124,3
127,3
135,3
141,3
142,3
144,3
145,3
148,3
155,3
157,3
160,3
161,3
167,3
169,3
170,3
174,3
175,3
183,3
184,3
188,3
189,3
190,3
194,3
2,2
4,2
7,2
11,2
15,2
16,2
18,2
21,2
22,2
23,2
30,2
38,2
39,2
50,2
53,2
63,2
66,2
69,2
71,2
73,2
80,2
88,2
89,2
91,2
92,2
100,2
103,2
108,2
109,2
111,2
113,2
114,2
122,2
130,2
132,2
137,2
144,2
146,2
154,2
158,2
160,2
161,2
164,2
165,2
167,2
168,2
171,2
173,2
180,2
181,2
183,2
185,2
190,2
192,2
1,1
9,1
11,1
21,1
31,1
37,1
41,1
49,1
62,1
74,1
79,1
80,1
89,1
108,1
115,1
118,1
130,1
138,1
139,1
142,1
146,1
150,1
151,1
152,1
156,1
157,1
160,1
166,1
169,1
179,1
182,1
183,1
186,1
189,1
192,1
194,1
