i,j
2,20
5,20
10,20
13,20
15,20
17,20
23,20
24,20
25,20
27,20
29,20
30,20
34,20
39,20
40,20
41,20
45,20
48,20
49,20
50,20
52,20
53,20
147,20
148,20
149,20
150,20
151,20
152,20
153,20
155,20
156,20
161,20
163,20
164,20
167,20
168,20
170,20
176,20
177,20
179,20
181,20
182,20
183,20
186,20
187,20
188,20
189,20
190,20
191,20
192,20
194,20
195,20
196,20
198,20
2,19
3,19
6,19
7,19
9,19
11,19
12,19
14,19
16,19
18,19
21,19
26,19
33,19
34,19
36,19
37,19
38,19
42,19
45,19
46,19
47,19
51,19
52,19
146,19
148,19
150,19
151,19
152,19
153,19
154,19
155,19
156,19
157,19
158,19
159,19
160,19
163,19
166,19
168,19
170,19
173,19
174,19
178,19
180,19
184,19
185,19
186,19
189,19
190,19
195,19
196,19
198,19
199,19
200,19
1,18
2,18
3,18
4,18
5,18
8,18
9,18
10,18
11,18
12,18
13,18
26,18
28,18
29,18
30,18
34,18
37,18
39,18
40,18
42,18
43,18
44,18
46,18
47,18
49,18
53,18
54,18
146,18
147,18
148,18
149,18
150,18
151,18
155,18
156,18
157,18
160,18
167,18
168,18
169,18
173,18
175,18
181,18
183,18
188,18
189,18
192,18
193,18
199,18
200,18
2,17
3,17
8,17
9,17
12,17
14,17
17,17
18,17
21,17
22,17
26,17
29,17
31,17
32,17
33,17
37,17
39,17
41,17
42,17
43,17
48,17
54,17
55,17
149,17
150,17
151,17
154,17
156,17
159,17
161,17
163,17
167,17
170,17
172,17
174,17
177,17
178,17
179,17
181,17
182,17
184,17
185,17
188,17
191,17
192,17
198,17
199,17
5,16
6,16
9,16
10,16
13,16
16,16
18,16
19,16
20,16
21,16
25,16
26,16
27,16
28,16
30,16
32,16
33,16
34,16
35,16
36,16
38,16
40,16
42,16
44,16
46,16
49,16
50,16
53,16
54,16
151,16
156,16
157,16
158,16
161,16
162,16
164,16
165,16
166,16
170,16
171,16
172,16
175,16
185,16
187,16
188,16
194,16
195,16
196,16
197,16
1,15
7,15
8,15
10,15
11,15
13,15
14,15
16,15
18,15
19,15
20,15
21,15
22,15
27,15
33,15
34,15
35,15
37,15
39,15
40,15
41,15
42,15
43,15
44,15
46,15
47,15
49,15
51,15
52,15
54,15
55,15
146,15
148,15
150,15
152,15
153,15
154,15
155,15
157,15
158,15
159,15
160,15
161,15
162,15
165,15
170,15
171,15
172,15
174,15
175,15
182,15
184,15
186,15
187,15
191,15
193,15
196,15
198,15
199,15
2,14
3,14
4,14
6,14
7,14
8,14
10,14
11,14
15,14
16,14
19,14
22,14
23,14
24,14
25,14
27,14
29,14
30,14
31,14
32,14
33,14
35,14
37,14
39,14
40,14
46,14
47,14
48,14
49,14
50,14
53,14
54,14
55,14
146,14
148,14
150,14
151,14
152,14
153,14
154,14
156,14
157,14
158,14
162,14
165,14
166,14
167,14
169,14
173,14
175,14
176,14
177,14
179,14
180,14
184,14
186,14
191,14
192,14
194,14
195,14
196,14
197,14
1,13
2,13
4,13
6,13
10,13
12,13
15,13
18,13
19,13
20,13
21,13
22,13
25,13
26,13
27,13
31,13
32,13
33,13
35,13
36,13
38,13
40,13
44,13
47,13
48,13
49,13
50,13
51,13
52,13
54,13
147,13
148,13
152,13
153,13
154,13
155,13
159,13
160,13
161,13
164,13
165,13
167,13
169,13
171,13
173,13
176,13
177,13
178,13
182,13
183,13
187,13
189,13
190,13
192,13
193,13
198,13
199,13
200,13
1,12
3,12
4,12
5,12
6,12
13,12
14,12
15,12
17,12
21,12
22,12
23,12
24,12
31,12
32,12
33,12
34,12
35,12
41,12
42,12
43,12
45,12
48,12
51,12
52,12
55,12
146,12
147,12
150,12
151,12
152,12
156,12
157,12
158,12
161,12
165,12
166,12
168,12
170,12
171,12
172,12
173,12
174,12
175,12
178,12
181,12
182,12
183,12
184,12
185,12
186,12
187,12
190,12
195,12
196,12
198,12
200,12
4,11
5,11
6,11
10,11
11,11
13,11
14,11
15,11
19,11
20,11
23,11
25,11
29,11
30,11
32,11
36,11
38,11
40,11
41,11
42,11
43,11
44,11
45,11
50,11
51,11
52,11
53,11
55,11
147,11
148,11
149,11
152,11
159,11
160,11
163,11
168,11
169,11
170,11
171,11
172,11
174,11
177,11
178,11
182,11
183,11
185,11
186,11
188,11
189,11
190,11
192,11
193,11
194,11
195,11
197,11
198,11
199,11
1,10
2,10
8,10
9,10
11,10
13,10
17,10
19,10
23,10
25,10
27,10
31,10
32,10
33,10
34,10
35,10
36,10
37,10
38,10
39,10
40,10
42,10
44,10
45,10
46,10
49,10
52,10
53,10
55,10
146,10
147,10
148,10
153,10
158,10
159,10
161,10
162,10
163,10
164,10
165,10
166,10
169,10
174,10
175,10
177,10
178,10
179,10
180,10
181,10
183,10
185,10
187,10
189,10
193,10
194,10
195,10
197,10
199,10
200,10
1,9
4,9
5,9
7,9
8,9
12,9
13,9
16,9
